# g_C Final_Yield
1.000000e-14 4.673901e-12
1.072267e-14 5.372663e-12
1.149757e-14 6.182177e-12
1.232847e-14 7.115455e-12
1.321941e-14 8.195473e-12
1.417474e-14 9.401746e-12
1.519911e-14 1.081566e-11
1.629751e-14 1.243181e-11
1.747528e-14 1.428874e-11
1.873817e-14 1.642680e-11
2.009233e-14 1.888693e-11
2.154435e-14 2.171736e-11
2.310130e-14 2.497892e-11
2.477076e-14 2.869848e-11
2.656088e-14 3.299601e-11
2.848036e-14 3.794222e-11
3.053856e-14 4.363056e-11
3.274549e-14 5.014985e-11
3.511192e-14 5.767429e-11
3.764936e-14 6.629554e-11
4.037017e-14 7.622792e-11
4.328761e-14 8.765106e-11
4.641589e-14 1.007727e-10
4.977024e-14 1.158656e-10
5.336699e-14 1.332221e-10
5.722368e-14 1.531643e-10
6.135907e-14 1.761114e-10
6.579332e-14 2.024780e-10
7.054802e-14 2.327986e-10
7.564633e-14 2.676645e-10
8.111308e-14 3.077471e-10
8.697490e-14 3.538342e-10
9.326033e-14 4.068311e-10
1.000000e-13 4.677464e-10
1.072267e-13 5.378060e-10
1.149757e-13 6.183509e-10
1.232847e-13 7.109423e-10
1.321941e-13 8.174162e-10
1.417474e-13 9.398266e-10
1.519911e-13 1.080574e-09
1.629751e-13 1.242398e-09
1.747528e-13 1.428441e-09
1.873817e-13 1.642381e-09
2.009233e-13 1.888340e-09
2.154435e-13 2.171121e-09
2.310130e-13 2.496255e-09
2.477076e-13 2.870098e-09
2.656088e-13 3.299902e-09
2.848036e-13 3.794093e-09
3.053856e-13 4.362258e-09
3.274549e-13 5.015593e-09
3.511192e-13 5.766704e-09
3.764936e-13 6.630299e-09
4.037017e-13 7.623215e-09
4.328761e-13 8.764867e-09
4.641589e-13 1.007748e-08
4.977024e-13 1.158667e-08
5.336699e-13 1.332182e-08
5.722368e-13 1.531686e-08
6.135907e-13 1.761069e-08
6.579332e-13 2.024797e-08
7.054802e-13 2.328026e-08
7.564633e-13 2.676666e-08
8.111308e-13 3.077514e-08
8.697490e-13 3.538394e-08
9.326033e-13 4.068297e-08
1.000000e-12 4.677552e-08
1.072267e-12 5.378048e-08
1.149757e-12 6.183446e-08
1.232847e-12 7.109463e-08
1.321941e-12 8.174156e-08
1.417474e-12 9.398292e-08
1.519911e-12 1.080575e-07
1.629751e-12 1.242399e-07
1.747528e-12 1.428457e-07
1.873817e-12 1.642378e-07
2.009233e-12 1.888336e-07
2.154435e-12 2.171127e-07
2.310130e-12 2.496269e-07
2.477076e-12 2.870103e-07
2.656088e-12 3.299920e-07
2.848036e-12 3.794107e-07
3.053856e-12 4.362300e-07
3.274549e-12 5.015586e-07
3.511192e-12 5.766705e-07
3.764936e-12 6.630309e-07
4.037017e-12 7.623244e-07
4.328761e-12 8.764878e-07
4.641589e-12 1.007748e-06
4.977024e-12 1.158665e-06
5.336699e-12 1.332184e-06
5.722368e-12 1.531687e-06
6.135907e-12 1.761068e-06
6.579332e-12 2.024801e-06
7.054802e-12 2.328029e-06
7.564633e-12 2.676667e-06
8.111308e-12 3.077517e-06
8.697490e-12 3.538396e-06
9.326033e-12 4.068296e-06
1.000000e-11 4.677552e-06
