# g_nu Final_Yield
1.000000e-14 2.875404e-12
1.072267e-14 3.374947e-12
1.149757e-14 3.960495e-12
1.232847e-14 4.647021e-12
1.321941e-14 5.452393e-12
1.417474e-14 6.398137e-12
1.519911e-14 7.507639e-12
1.873817e-14 1.210739e-11
2.009233e-14 1.401314e-11
2.154435e-14 1.605902e-11
2.310130e-14 1.830766e-11
2.477076e-14 2.068267e-11
2.656088e-14 2.463714e-11
2.848036e-14 2.820239e-11
3.053856e-14 3.794785e-11
3.274549e-14 4.464102e-11
3.511192e-14 5.332394e-11
4.977024e-14 1.241773e-10
5.336699e-14 1.406373e-10
5.722368e-14 1.544670e-10
6.135907e-14 1.800309e-10
6.579332e-14 2.086170e-10
7.564633e-14 2.821188e-10
9.326033e-14 4.435064e-10
1.000000e-13 5.090437e-10
1.072267e-13 5.841732e-10
1.149757e-13 6.720582e-10
1.232847e-13 7.706249e-10
1.417474e-13 1.022030e-09
1.519911e-13 1.180224e-09
1.629751e-13 1.356412e-09
1.747528e-13 1.522987e-09
1.873817e-13 1.781598e-09
2.009233e-13 2.047565e-09
2.154435e-13 2.356816e-09
2.310130e-13 2.683003e-09
2.477076e-13 3.110708e-09
2.656088e-13 3.545264e-09
2.848036e-13 4.073383e-09
3.053856e-13 4.678822e-09
3.274549e-13 5.355930e-09
3.511192e-13 6.162934e-09
3.764936e-13 7.078935e-09
4.037017e-13 8.186827e-09
4.328761e-13 9.383323e-09
4.641589e-13 1.078056e-08
4.977024e-13 1.240897e-08
5.336699e-13 1.427958e-08
5.722368e-13 1.640027e-08
6.135907e-13 1.891350e-08
6.579332e-13 2.171188e-08
7.054802e-13 2.494317e-08
7.564633e-13 2.872398e-08
8.111308e-13 3.300517e-08
8.697490e-13 3.796965e-08
9.326033e-13 4.360623e-08
1.000000e-12 5.013419e-08
1.072267e-12 5.774848e-08
1.149757e-12 6.641030e-08
1.232847e-12 7.637197e-08
1.321941e-12 8.773874e-08
1.417474e-12 1.009318e-07
1.519911e-12 1.159663e-07
1.629751e-12 1.333955e-07
1.747528e-12 1.532797e-07
1.873817e-12 1.762853e-07
2.009233e-12 2.026757e-07
2.154435e-12 2.329760e-07
2.310130e-12 2.679786e-07
2.477076e-12 3.079573e-07
2.656088e-12 3.541811e-07
2.848036e-12 4.072088e-07
3.053856e-12 4.681352e-07
3.274549e-12 5.382839e-07
3.511192e-12 6.188313e-07
3.764936e-12 7.115693e-07
4.037017e-12 8.181622e-07
4.328761e-12 9.406382e-07
4.641589e-12 1.081612e-06
4.977024e-12 1.243542e-06
5.336699e-12 1.429694e-06
5.722368e-12 1.643842e-06
6.135907e-12 1.890011e-06
6.579332e-12 2.173043e-06
7.054802e-12 2.498427e-06
7.564633e-12 2.872606e-06
8.111308e-12 3.302709e-06
8.697490e-12 3.797423e-06
9.326033e-12 4.366077e-06
1.000000e-11 5.020114e-06
